"Issue Type","Summary","Description","Priority","Story Points","Epic Link","Labels"
"Epic","EP-01 MVP - Controle Processual Essencial","Entregar o nucleo que substitui as planilhas: cadastrar processos, registrar andamentos e controlar prazos com alertas, com acesso seguro e auditavel. Resultado-chave: pelo menos 80% dos processos cadastrados e zero prazos perdidos em 60 dias.","Highest","","","MVP"
"Epic","EP-02 Incremento 1 - Produtividade e Rastreabilidade","Aumentar produtividade e rastreabilidade: anexos de documentos, alerta de prazo por e-mail, relatorios/exportacao e gestao avancada de usuarios.","Medium","","","Incremento1"
"Epic","EP-03 Incremento 2 - Integracao e Portal","Visao de futuro (nao refinado): integracao com tribunais, portal do cliente final e controle financeiro de honorarios.","Low","","","Incremento2"
"Story","ENB-01 Setup de arquitetura, CI/CD e ambiente","Feature: F-01 Acesso e Seguranca. ENABLER (item tecnico habilitador). Prepara o esqueleto da aplicacao (SPA + API REST + banco relacional), pipeline de CI (build + testes) e ambiente de homologacao com HTTPS. Pre-requisito de todas as historias.

Criterios de aceitacao:
- Dado um push na branch principal, quando o pipeline roda, entao build e testes executam com status visivel.
- Dado o deploy de homologacao, quando acesso a URL, entao a aplicacao base responde por HTTPS.","Highest","5","EP-01 MVP - Controle Processual Essencial","Sprint1"
"Story","US-01 Login no sistema","Feature: F-01 Acesso e Seguranca.

Como usuario do escritorio, quero acessar o sistema com e-mail e senha, para proteger os dados dos processos e ter minhas acoes identificadas.

Criterios de aceitacao:
- Dado um usuario ativo, quando informa credenciais corretas, entao e autenticado e vai para a lista de processos.
- Dado credenciais invalidas, quando tenta logar, entao ve a mensagem de erro e continua no login.
- Dado 5 tentativas falhas consecutivas, quando erra de novo, entao a conta e bloqueada por 15 min.
- Senha trafega por HTTPS e e verificada contra hash (RNF de seguranca).","High","3","EP-01 MVP - Controle Processual Essencial","Sprint1"
"Story","US-02 Logout e expiracao de sessao","Feature: F-01 Acesso e Seguranca.

Como usuario, quero encerrar minha sessao manualmente ou por inatividade, para evitar acesso indevido em estacoes compartilhadas.

Criterios de aceitacao:
- Dado um usuario logado, quando clica em Sair, entao a sessao e encerrada e ele volta ao login.
- Dado 30 min de inatividade, quando tenta uma acao, entao e redirecionado ao login.","High","2","EP-01 MVP - Controle Processual Essencial","Sprint1"
"Story","US-03 Cadastro de usuarios e papeis","Feature: F-01 Acesso e Seguranca.

Como administrador, quero cadastrar usuarios e atribuir papeis (socio, advogado, estagiario, secretaria), para controlar o que cada um pode fazer.

Criterios de aceitacao:
- Admin cria/edita/inativa usuarios informando nome, e-mail e papel.
- Papel define permissoes (ex.: estagiario nao encerra processo).","Medium","5","EP-01 MVP - Controle Processual Essencial","MVP"
"Story","US-04 Cadastrar processo","Feature: F-02 Gestao de Processos.

Como secretaria ou advogado, quero cadastrar um novo processo com seus dados, para centralizar a informacao em um unico lugar. Campos: numero (CNJ), autor, reu, area, vara/comarca, valor da causa, responsavel, observacoes.

Criterios de aceitacao:
- Dado o formulario com os obrigatorios, quando salvo, entao o processo e criado e abro seu detalhe.
- Dado numero ja cadastrado, quando tento salvar, entao vejo aviso de duplicidade e nao duplica.
- Dado obrigatorios vazios (numero, autor, reu, area, responsavel), quando tento salvar, entao vejo validacoes por campo.
- Grava data/hora e usuario autor do cadastro (auditoria).","High","5","EP-01 MVP - Controle Processual Essencial","Sprint1"
"Story","US-05 Listar e buscar processos","Feature: F-02 Gestao de Processos.

Como advogado, quero listar e buscar processos por numero, parte, responsavel ou status, para localizar rapidamente o que preciso.

Criterios de aceitacao:
- Dado processos cadastrados, quando acesso a lista, entao vejo numero, partes, area, responsavel e status, paginados.
- Dado um termo, quando busco, entao a lista filtra por numero/parte/responsavel.
- Dado filtros de status e area, quando aplico, entao a lista e refinada.
- A busca responde em menos de 2s na base de homologacao (RNF de desempenho).","High","5","EP-01 MVP - Controle Processual Essencial","Sprint1"
"Story","US-06 Visualizar detalhe do processo","Feature: F-02 Gestao de Processos.

Como advogado, quero abrir um processo e ver seus dados, andamentos e prazos, para ter o panorama completo antes de uma audiencia.

Criterios de aceitacao:
- Dado um processo, quando abro o detalhe, entao vejo dados cadastrais, a linha do tempo de andamentos e os prazos.
- A partir do detalhe consigo acionar Novo andamento.
- A tela carrega em menos de 2s (RNF de desempenho).","High","3","EP-01 MVP - Controle Processual Essencial","Sprint1"
"Story","US-07 Editar processo","Feature: F-02 Gestao de Processos.

Como advogado, quero editar os dados de um processo, para corrigir/atualizar informacoes.

Criterios de aceitacao:
- Alteracoes sao salvas e registradas no log de auditoria.","Medium","3","EP-01 MVP - Controle Processual Essencial","MVP"
"Story","US-08 Encerrar/arquivar processo","Feature: F-02 Gestao de Processos.

Como advogado, quero marcar um processo como encerrado/arquivado, para remove-lo da carteira ativa sem perder o historico. (Item a refinar.)","Low","2","EP-01 MVP - Controle Processual Essencial","MVP"
"Story","US-09 Registrar andamento","Feature: F-03 Andamentos.

Como advogado ou estagiario, quero registrar um andamento em um processo, para manter o historico atualizado e auditavel. Campos: data, tipo (despacho, audiencia, juntada, decisao, outro), descricao.

Criterios de aceitacao:
- Dado um processo aberto, quando registro (data, tipo, descricao), entao aparece no topo da linha do tempo imediatamente.
- Dado descricao vazia, quando tento salvar, entao vejo a validacao de obrigatoriedade.
- Dado data futura, quando tento salvar, entao o sistema rejeita.
- Autor e data/hora de registro sao gravados (auditoria - RNF).","High","5","EP-01 MVP - Controle Processual Essencial","Sprint1"
"Story","US-10 Visualizar linha do tempo de andamentos","Feature: F-03 Andamentos.

Como advogado, quero ver os andamentos em ordem cronologica, para entender a evolucao do processo.

Criterios de aceitacao:
- Dado andamentos cadastrados, quando abro o detalhe, entao vejo-os do mais recente ao mais antigo (data, tipo, autor, descricao).
- Dado um processo sem andamentos, quando abro o detalhe, entao vejo um estado vazio orientando a registrar o primeiro.
- A linha do tempo carrega em menos de 2s (RNF de desempenho).","High","3","EP-01 MVP - Controle Processual Essencial","Sprint1"
"Story","US-11 Editar/excluir andamento (com auditoria)","Feature: F-03 Andamentos.

Como advogado, quero corrigir ou excluir um andamento lancado errado, para manter o historico fiel. Toda alteracao/exclusao fica registrada na auditoria. (Item a refinar.)","Low","3","EP-01 MVP - Controle Processual Essencial","MVP"
"Story","US-12 Cadastrar prazo do processo","Feature: F-04 Prazos.

Como advogado, quero cadastrar um prazo (tipo e data-limite) vinculado ao processo, para ser avisado antes do vencimento.

Criterios de aceitacao:
- Prazo exige tipo, data-limite e processo; aparece no detalhe e no dashboard.","High","3","EP-01 MVP - Controle Processual Essencial","MVP"
"Story","US-13 Alerta de prazos a vencer no painel","Feature: F-04 Prazos.

Como advogado, quero ver no painel os prazos que vencem nos proximos dias, para priorizar meu trabalho e nao perder prazos.

Criterios de aceitacao:
- Painel destaca prazos a vencer em 0 a 7 dias; vencidos em vermelho.","High","5","EP-01 MVP - Controle Processual Essencial","MVP"
"Story","US-14 Marcar prazo como cumprido","Feature: F-04 Prazos.

Como advogado, quero dar baixa em um prazo cumprido, para que ele saia da lista de pendencias.

Criterios de aceitacao:
- Prazo marcado como cumprido sai da lista de pendencias e fica no historico.","Medium","2","EP-01 MVP - Controle Processual Essencial","MVP"
"Story","US-15 Dashboard com indicadores e prazos da semana","Feature: F-05 Dashboard.

Como socio ou advogado, quero uma tela inicial com totais (processos ativos, prazos a vencer, por area) e os prazos da semana, para ter visao consolidada ao entrar no sistema.

Criterios de aceitacao:
- Cards com contadores e lista de prazos dos proximos 7 dias.","Medium","5","EP-01 MVP - Controle Processual Essencial","MVP"
"Story","ENB-02 Log de auditoria (rastreabilidade)","Feature: F-01 Acesso e Seguranca. ENABLER / RNF. Toda criacao/edicao/exclusao de processo, andamento e prazo registra usuario, acao, data/hora e item afetado, de forma consultavel. Requisito de compliance (LGPD).

Criterios de aceitacao:
- Cada acao de criar/editar/excluir grava usuario, acao, data/hora e item afetado.
- O log e consultavel pelo administrador.","High","3","EP-01 MVP - Controle Processual Essencial","MVP"
"Story","US-16 Anexar documentos a processo/andamento","Feature: F-06 Documentos.

Como advogado, quero anexar documentos a um processo ou andamento, para manter as pecas no mesmo lugar. (Item grosso, a refinar quando se aproximar do topo.)","Medium","","EP-02 Incremento 1 - Produtividade e Rastreabilidade","Incremento1"
"Story","US-17 Alerta de prazo por e-mail","Feature: F-07 Notificacoes.

Como advogado, quero receber por e-mail os avisos de prazos a vencer, para nao depender de abrir o sistema. (Item a refinar.)","Medium","","EP-02 Incremento 1 - Produtividade e Rastreabilidade","Incremento1"
"Story","US-18 Exportar carteira/relatorio (CSV/PDF)","Feature: F-08 Relatorios.

Como socio, quero exportar a carteira de processos e relatorios em CSV/PDF, para analises externas e prestacao de contas. (Item a refinar.)","Low","","EP-02 Incremento 1 - Produtividade e Rastreabilidade","Incremento1"
"Story","US-19 Perfis e permissoes avancadas","Feature: F-09 Gestao de Usuarios.

Como administrador, quero perfis e permissoes granulares, para controlar acoes por papel com mais detalhe. (Item a refinar.)","Low","","EP-02 Incremento 1 - Produtividade e Rastreabilidade","Incremento1"
